Term,Quote
1y,0.003804
18m,0.007235
2y,0.009285
3y,0.011294
4y,0.012570
5y,0.013529
7y,0.014880
10y,0.016820
15y,0.018449
20y,0.017969
25y,0.016862
30y,0.015809
