Term,Quote
1y,0.003931
18m,0.007480
2y,0.009616
3y,0.011730
4y,0.013076
5y,0.014072
7y,0.015431
10y,0.017195
15y,0.018512
20y,0.017800
25y,0.016550
30y,0.015395
