Term,Quote
1y,0.000124
18m,0.000241
2y,0.000325
3y,0.000428
4y,0.000496
5y,0.000533
7y,0.000541
10y,0.000368
15y,0.000061
20y,-0.000165
25y,-0.000306
30y,-0.000406
